2.25108	33.4181	-34.6335	-34.6335
2.25203	33.3241	-34.6451	-34.6451
2.25237	33.3002	-34.7292	-34.7292
2.25323	33.2164	-34.7511	-34.7511
2.25468	33.0648	-34.7021	-34.7021
2.25504	33.0394	-34.7847	-34.7847
2.25494	33.0667	-34.9228	-34.9228
2.25526	33.0445	-35.0093	-35.0093
2.25641	32.9279	-34.9961	-34.9961
2.25645	32.9386	-35.1176	-35.1176
2.25749	32.8341	-35.1169	-35.1169
2.25826	32.7606	-35.1491	-35.1491
2.25831	32.7702	-35.27	-35.27
2.25908	32.6968	-35.3022	-35.3022
2.26006	32.5998	-35.3089	-35.3089
2.26063	32.5487	-35.3649	-35.3649
2.26116	32.5038	-35.4277	-35.4277
2.2619	32.4336	-35.4631	-35.4631
2.26251	32.3783	-35.5145	-35.5145
2.26331	32.3018	-35.5429	-35.5429
2.26385	32.2554	-35.604	-35.604
2.26491	32.1479	-35.5981	-35.5981
2.2646	32.2	-35.768	-35.768
2.26631	32.0172	-35.6783	-35.6783
2.26715	31.935	-35.6996	-35.6996
2.26771	31.886	-35.7578	-35.7578
2.27021	31.61	-35.5619	-35.5619
2.27078	31.56	-35.6183	-35.6183
2.26975	31.6963	-35.8844	-35.8844
2.27	31.6834	-35.9834	-35.9834
2.27052	31.6393	-36.0474	-36.0474
2.27293	31.3739	-35.8599	-35.8599
2.27417	31.2452	-35.8267	-35.8267
2.27461	31.21	-35.9	-35.9
2.27565	31.1039	-35.892	-35.892
2.27539	31.151	-36.0602	-36.0602
2.27611	31.0831	-36.0962	-36.0962
2.27722	30.9702	-36.0799	-36.0799
2.27858	30.8265	-36.0275	-36.0275
2.27932	30.7565	-36.0604	-36.0604
2.28188	30.472	-35.8423	-35.8423
2.28247	30.4185	-35.8935	-35.8935
2.28381	30.2778	-35.8421	-35.8421
2.28451	30.2115	-35.8779	-35.8779
2.28547	30.1156	-35.8786	-35.8786
2.28622	30.0438	-35.9077	-35.9077
2.28705	29.9615	-35.9241	-35.9241
2.28797	29.8702	-35.9296	-35.9296
2.28862	29.8099	-35.972	-35.972
2.28916	29.7624	-36.0297	-36.0297
2.28968	29.7187	-36.0921	-36.0921
2.29057	29.6299	-36.1	-36.1
2.29052	29.6524	-36.2428	-36.2428
2.29122	29.5865	-36.2786	-36.2786
2.29159	29.5597	-36.362	-36.362
